MAPI_DEFAULT_VIEW_ENTRYID 0x3616
MAPI_ASSOC_CONTENT_COUNT 0x3617
MAPI_ATTACHMENT_X400_PARAMETERS 0x3700
MAPI_ATTACH_DATA_OBJ 0x3701
MAPI_ATTACH_ENCODING 0x3702
MAPI_ATTACH_EXTENSION 0x3703
MAPI_ATTACH_FILENAME 0x3704
MAPI_ATTACH_METHOD 0x3705
MAPI_ATTACH_LONG_FILENAME 0x3707
MAPI_ATTACH_PATHNAME 0x3708
MAPI_ATTACH_RENDERING 0x3709
MAPI_ATTACH_TAG 0x370A
MAPI_RENDERING_POSITION 0x370B
MAPI_ATTACH_TRANSPORT_NAME 0x370C
MAPI_ATTACH_LONG_PATHNAME 0x370D
MAPI_ATTACH_MIME_TAG 0x370E
MAPI_ATTACH_ADDITIONAL_INFO 0x370F
MAPI_ATTACH_MIME_SEQUENCE 0x3710
MAPI_ATTACH_CONTENT_ID 0x3712
MAPI_ATTACH_CONTENT_LOCATION 0x3713
MAPI_ATTACH_FLAGS 0x3714
MAPI_DISPLAY_TYPE 0x3900
MAPI_TEMPLATEID 0x3902
MAPI_PRIMARY_CAPABILITY 0x3904
MAPI_SMTP_ADDRESS 0x39FE
MAPI_7BIT_DISPLAY_NAME 0x39FF
MAPI_ACCOUNT 0x3A00
MAPI_ALTERNATE_RECIPIENT 0x3A01
MAPI_CALLBACK_TELEPHONE_NUMBER 0x3A02
MAPI_CONVERSION_PROHIBITED 0x3A03
MAPI_DISCLOSE_RECIPIENTS 0x3A04
MAPI_GENERATION 0x3A05
MAPI_GIVEN_NAME 0x3A06
MAPI_GOVERNMENT_ID_NUMBER 0x3A07
MAPI_BUSINESS_TELEPHONE_NUMBER 0x3A08
MAPI_HOME_TELEPHONE_NUMBER 0x3A09
MAPI_INITIALS 0x3A0A
MAPI_KEYWORD 0x3A0B
MAPI_LANGUAGE 0x3A0C
MAPI_LOCATION 0x3A0D
MAPI_MAIL_PERMISSION 0x3A0E
